time,theta1_actual,omega1_actual,theta2_actual,omega2_actual,theta1_predicted,omega1_predicted,theta2_predicted,omega2_predicted
13.2,-0.28831064811295704,-0.0067698039125757906,0.6826352590029808,-0.8426278655956504,0.07922284145251357,-0.7913983140460344,-0.529296015445008,2.450030021759156
13.233333333333333,-0.28666768748871013,0.1062327724800153,0.6496559657523546,-1.1362504387463193,0.06027814738791223,-0.8601790043926936,-0.4729306253556711,2.6415403279787526
13.266666666666666,-0.28116493514225427,0.22494085624420648,0.6068718003384179,-1.4310719175837339,0.03939675614902453,-0.9224139254785273,-0.4116389853540306,2.812197400998397
13.299999999999999,-0.2716023036784532,0.34986726434414683,0.5542300705777834,-1.7277641562273052,0.016584010094154947,-0.9730325790815617,-0.34551047646668026,2.951094002313739
13.333333333333334,-0.257772584088589,0.4808645203417738,0.49166873484081586,-2.0260837907397353,-0.00798473079000088,-1.0065651971275704,-0.27495285791459734,3.046583394873983
13.366666666666667,-0.23949099868988682,0.6166283787552591,0.4191633675759077,-2.3237799792005687,-0.03397455588111693,-1.0183343382024483,-0.20066250338530323,3.0889642756041145
13.4,-0.2166461713336605,0.7538979727926023,0.336822230283173,-2.6147699824473385,-0.060928591506416975,-1.0056930001468816,-0.12354386313196243,3.0731876112691165
13.433333333333334,-0.18928280757612825,0.8863809154321668,0.24505486557220074,-2.8866067305293934,-0.08831093088615916,-0.9687050301669737,-0.044634814002686735,3.000219443552652
13.466666666666667,-0.1577193801610354,1.0038647622224672,0.1448254394064238,-3.1182271937855135,-0.11554404299028412,-0.9099266872737992,0.034934636287934966,2.876326631504727
13.5,-0.12267564717426152,1.0928029701890518,0.03793916660465989,-3.28087241162723,-0.14204116269788214,-0.833487275215748,0.11396540995141737,2.710822058935624
13.533333333333333,-0.08533208855626263,1.1400066188058797,-0.07281011222554937,-3.3459628465866684,-0.16723896887207745,-0.7440039034759331,0.19122605360484915,2.513563898569702
13.566666666666666,-0.0472169923495128,1.1388302448810972,-0.1838680818159839,-3.298755019176843,-0.1906300648586443,-0.6457777564056033,0.26551418772667623,2.2932358867938105
13.6,-0.009908051365222343,1.0931237352497238,-0.2915611540123041,-3.147235662601701,-0.2117877795070409,-0.5424125223733242,0.33572003212929297,2.056689388984368
13.633333333333333,0.02529561310227057,1.0148647181727075,-0.3928079408872368,-2.9170035712542837,-0.23037802174650107,-0.4367671419274281,0.4008636042014785,1.8090625119671764
13.666666666666666,0.05754381536146923,0.9179797973605737,-0.48548576060795506,-2.637731791371574,-0.2461610379749461,-0.33106357550337046,0.4601112371997846,1.5542448720742514
13.7,0.08641353744090002,0.8136866162988654,-0.5683786603812981,-2.3331305843581487,-0.2589885212062185,-0.22700703809514713,0.5127888000155364,1.2953309943231461
13.733333333333333,0.11178816124681226,0.7091498931696771,-0.6409166978208355,-2.018295823596292,-0.26879516728430447,-0.1258444917981457,0.5583943778833725,1.034886177268133
13.766666666666666,0.13372999755981133,0.6081195306404099,-0.7029098614568074,-1.701349559107669,-0.2755853644821082,-0.028361447317546598,0.5966054598273812,0.7750047976105656
13.799999999999999,0.1523849764874754,0.512040244315865,-0.7543584398484585,-1.3859849338860726,-0.27941894721263966,0.06515369972394654,0.6272769107745122,0.517200845639712
13.833333333333334,0.16792187751231422,0.4209632442211974,-0.7953408812466372,-1.0734653584763598,-0.28039954942794254,0.15491414463058095,0.6504225408891271,0.26225749620897304
13.866666666666667,0.18049667391533433,0.3341457388760836,-0.8259554422740987,-0.7638685214022031,-0.27866198053543123,0.2415339875705365,0.6661670523616892,0.01021486633223105
13.9,0.19023257635823454,0.25040951697056313,-0.8462931870461149,-0.4567628904358896,-0.2743529253161139,0.32584123933385034,0.6746873590449509,-0.2394234806293178
