Epoch,Total Loss,Physical Loss,Data Loss,Test Error Mean,Test Error Loss Function,Test Error Loss Function MSE
1,0.019434036687016487,0.017887115478515625,0.017645325511693954,0.0684396979841214,0.06843970715999603,0.005336446687579155
2,0.019354289397597313,0.00035858154296875,0.019318269565701485,0.07509656821673841,0.07509656250476837,0.005923340562731028
3,0.03613044321537018,0.21997833251953125,0.013934828341007233,0.07417712975380263,0.07417713105678558,0.006427203305065632
4,0.0472114160656929,0.2813377380371094,0.01869821548461914,0.06274768324356074,0.06274767220020294,0.004153504502028227
5,0.023022469133138657,0.1262054443359375,0.010174982249736786,0.07114735409426445,0.07114735245704651,0.005227652844041586
6,0.019503982737660408,0.07118606567382812,0.01222536712884903,0.07669833995603857,0.07669833302497864,0.006862403824925423
7,0.009359455667436123,0.013057708740234375,0.008018463850021362,0.06157704967656715,0.061577048152685165,0.004473112523555756
8,0.047467298805713654,0.2568931579589844,0.020969577133655548,0.04384811534817731,0.04384811967611313,0.0031375805847346783
9,0.011221125721931458,0.043582916259765625,0.00670609250664711,0.0757403301251272,0.07574033737182617,0.008964653126895428
10,0.018796104937791824,0.06854629516601562,0.011664140969514847,0.09744603975239774,0.0974460318684578,0.010350799188017845
11,0.011734014376997948,0.016445159912109375,0.010015569627285004,0.05873753966571452,0.05873755365610123,0.004336257465183735
12,0.07166677713394165,0.40337371826171875,0.029334694147109985,0.08942079867268271,0.08942081034183502,0.00846216082572937
13,0.017818931490182877,0.07097625732421875,0.010338418185710907,0.04610875462278347,0.046108752489089966,0.0028187925927340984
14,0.02482634410262108,0.14681625366210938,0.009286701679229736,0.09150909722357091,0.09150908887386322,0.008835230022668839
15,0.028676651418209076,0.11477279663085938,0.016477026045322418,0.06964565251885495,0.06964564323425293,0.00526450015604496
16,0.010831302963197231,0.03125762939453125,0.007494762074202299,0.06249060176981232,0.06249059736728668,0.005508153233677149
17,0.013049951754510403,0.026882171630859375,0.010168376378715038,0.08545356436546883,0.08545355498790741,0.007871977984905243
18,0.011048227548599243,0.02368927001953125,0.008498258888721466,0.07548774510060365,0.07548774033784866,0.006421961821615696
19,0.008118645288050175,0.02150726318359375,0.0057938843965530396,0.06439919792087602,0.06439918279647827,0.004451386630535126
20,0.017239414155483246,0.08936309814453125,0.007539813406765461,0.04650284308417168,0.046502839773893356,0.003845249768346548
21,0.00969945453107357,0.030757904052734375,0.0063471198081970215,0.07450499468310241,0.07450500130653381,0.006390366703271866
22,0.017067264765501022,0.058338165283203125,0.01068270392715931,0.08054990215817291,0.08054991066455841,0.006548418663442135
23,0.0162960197776556,0.08716201782226562,0.006717775948345661,0.10023796134370325,0.10023795068264008,0.010174265131354332
24,0.013012928888201714,0.06005859375,0.006386084482073784,0.05700614834744798,0.057006143033504486,0.003914861939847469
25,0.004866637289524078,0.0029449462890625,0.004540368914604187,0.039268318097932936,0.03926830738782883,0.0024224091321229935
26,0.04214062541723251,0.2313079833984375,0.016410212963819504,0.06947150416411278,0.06947150081396103,0.004976080730557442
27,0.025562718510627747,0.13753509521484375,0.010201655328273773,0.08107796777117283,0.08107797056436539,0.0067374212667346
28,0.031380344182252884,0.153167724609375,0.014204442501068115,0.060127161922299166,0.06012715399265289,0.00519949197769165
29,0.043430130928754807,0.24942398071289062,0.015348128974437714,0.08162663578585211,0.08162663877010345,0.008502022363245487
30,0.029370436444878578,0.17034149169921875,0.010115552693605423,0.08321353039685075,0.08321353793144226,0.007523316890001297
31,0.013921483419835567,0.05660247802734375,0.007497865706682205,0.058395690247702026,0.058395691215991974,0.003970395773649216
32,0.008352180942893028,0.000591278076171875,0.008284812793135643,0.08341829445533458,0.08341830223798752,0.0070687830448150635
33,0.0065308623015880585,0.023406982421875,0.003853440284729004,0.07441840788910642,0.07441841810941696,0.008173666894435883
34,0.020504243671894073,0.06954574584960938,0.01251794770359993,0.08437438965108048,0.08437438309192657,0.007856059819459915
35,0.006807710509747267,0.0124664306640625,0.005370521452277899,0.08249400092849984,0.08249401301145554,0.00939215999096632
36,0.03165268525481224,0.17887496948242188,0.010950721800327301,0.07826372751889826,0.07826372981071472,0.0064748190343379974
37,0.01610490493476391,0.05872344970703125,0.009282190352678299,0.06788812954407299,0.06788813322782516,0.004829710815101862
38,0.011457975022494793,0.0556182861328125,0.004971027374267578,0.08223040849247155,0.08223040401935577,0.007274688221514225
39,0.008009102195501328,0.02385711669921875,0.005215840879827738,0.047201444555682814,0.04720143973827362,0.003279122756794095
40,0.003447475377470255,0.000400543212890625,0.003400398651137948,0.07922484309824443,0.0792248472571373,0.00634498568251729
