Epoch,Total Loss,Physical Loss,Data Loss,Test Error Mean,Test Error Loss Function
1,0.019010724499821663,0.04193115234375,0.014817609451711178,0.10651673411807469,0.019040528684854507
2,0.007784683257341385,0.0510711669921875,0.0026546078734099865,0.08662945035719155,0.008609392680227757
3,0.021442100405693054,0.19080352783203125,0.002190196420997381,0.09218867799439026,0.008696317672729492
4,0.014643237926065922,0.142578125,0.0001931368315126747,0.09779037127010154,0.009895386174321175
5,0.022665008902549744,0.21546554565429688,0.0007310052751563489,0.05536182244405102,0.004307922907173634
6,0.00795483123511076,0.07742691040039062,3.810391717706807e-05,0.08075406938600296,0.007750288117676973
7,0.0028009836096316576,0.02655029296875,7.433994323946536e-05,0.04631560296995235,0.0026445253752171993
8,0.0136753274127841,0.12343597412109375,0.0009432953665964305,0.0876099338968013,0.008189737796783447
9,0.03660846874117851,0.3479194641113281,0.0005652639665640891,0.05354744985355046,0.003426820272579789
10,0.015560660511255264,0.14798355102539062,0.00016357048298232257,0.05842307654043251,0.00505339028313756
11,0.011273791082203388,0.09814071655273438,0.0010185278952121735,0.06981965418442097,0.004960811696946621
12,0.00029280505259521306,0.001865386962890625,9.704190597403795e-05,0.08331632906779123,0.007375448476523161
13,0.0040926504880189896,0.037776947021484375,0.00011116405948996544,0.09905541495681448,0.00988124031573534
14,0.017329487949609756,0.15792465209960938,0.0006140869809314609,0.049631714851762945,0.0036624670028686523
15,0.003612665692344308,0.032283782958984375,0.00018110274686478078,0.09035463043392111,0.008222268894314766
16,0.02484413981437683,0.2230072021484375,0.001039625727571547,0.06544817064724673,0.00539729418233037
17,0.001996108563616872,0.01856231689453125,6.361580744851381e-06,0.06512534879337611,0.005353832151740789
18,0.0020121021661907434,0.01857757568359375,1.236806383531075e-05,0.07315402729985343,0.010555367916822433
19,0.0035744139458984137,0.03265380859375,4.480144343688153e-05,0.06397125060278237,0.00570491049438715
20,0.0037207696586847305,0.034152984619140625,1.3754824067291338e-05,0.04720512280967961,0.003287088591605425
21,0.009565438143908978,0.08739852905273438,3.978447784902528e-05,0.04151993314295143,0.0024233167059719563
22,0.0042152199894189835,0.037868499755859375,7.087050471454859e-05,0.08411213951634718,0.007205455098301172
23,0.005806612316519022,0.052455902099609375,4.222747520543635e-05,0.08250930531223741,0.0073416209779679775
24,0.0024633530993014574,0.021869659423828125,5.026224971516058e-05,0.07403054206613155,0.00795240793377161
25,0.01876833848655224,0.15764999389648438,0.0013024206273257732,0.07523031947876009,0.005925416946411133
26,0.018889715895056725,0.16674041748046875,0.0003417192492634058,0.06636242891354648,0.007056331727653742
27,0.006641729269176722,0.058841705322265625,6.979875615797937e-05,0.0674512927623047,0.005630422383546829
28,0.005983945447951555,0.047882080078125,0.0006145514198578894,0.05890271844709344,0.004537348635494709
29,0.0027740998193621635,0.0246124267578125,3.0502753816108452e-06,0.07410389597651038,0.005697314627468586
30,0.008838240057229996,0.07750701904296875,7.708181510679424e-05,0.051947162558896406,0.0029972591437399387
31,0.0008846214041113853,0.0074920654296875,3.437302802922204e-05,0.04621656724760495,0.0033174706622958183
32,0.0008414224139414728,0.007366180419921875,2.1488101538125193e-06,0.08123752008348639,0.008397364057600498
33,0.006060109939426184,0.05136871337890625,0.00018426807946525514,0.049302222233780855,0.003449853742495179
34,0.0051475404761731625,0.04467010498046875,1.7841764929471537e-05,0.045481428068432535,0.003174236509948969
35,0.008185302838683128,0.07001876831054688,0.0001132083561969921,0.07273143153113241,0.005352974869310856
36,0.010925553739070892,0.09395217895507812,5.2067793149035424e-05,0.09059665468345345,0.008494998328387737
37,0.0030883329454809427,0.026378631591796875,2.3562850401503965e-05,0.08763876659775525,0.008201693184673786
38,0.009890417568385601,0.08384323120117188,0.00011149943748023361,0.0682301094130427,0.005016326904296875
39,0.002184032229706645,0.018585205078125,8.022228939807974e-06,0.07022752678356994,0.007638333365321159
40,0.004964572377502918,0.04215240478515625,1.0296150321664754e-05,0.08762125068971546,0.008836409077048302
41,0.025276638567447662,0.20722579956054688,0.0008277198649011552,0.07245502818569861,0.005306204780936241
42,0.013475678861141205,0.11305999755859375,8.58067796798423e-05,0.08195047553563767,0.006929517723619938
43,0.0019551946315914392,0.016021728515625,5.0513634050730616e-05,0.07132639027463197,0.005825879983603954
44,0.0018555044662207365,0.007564544677734375,0.0009528222726657987,0.06553095777787271,0.004895975813269615
45,0.00014521395496558398,0.001129150390625,9.96407379716402e-06,0.03894555663284447,0.0027152542024850845
46,0.005307510960847139,0.043621063232421875,6.296017090789974e-05,0.05811087633895029,0.006818098481744528
47,0.005365376360714436,0.044219970703125,2.8940212359884754e-05,0.05756668294477427,0.003968668635934591
